OperatorInfo/Title;UsageType/Title;AddressInfo/Title;AddressInfo/AddressLine1;AddressInfo/AddressLine2;AddressInfo/Latitude;AddressInfo/Longitude;NumberOfPoints;Connections/0/ConnectionType/Title;Connections/0/Level/Title;Connections/0/Amps;Connections/0/Voltage;Connections/0/PowerKW
Tesla Motors (Worldwide);Public - Membership Required;Centro Comercial Artea;Barrio Peruri;;43.342139;-2.990694;2;Tesla (Model S onwards);Level 2 : Medium (Over 2kW);32;400;22
Tesla Motors (Worldwide);Public - Membership Required;Hotel Catalonia Diagonal Centro;Carrer de Balmes;;41.393861;2.156727;1;Tesla (Model S onwards);Level 2 : Medium (Over 2kW);16;400;11
Tesla Motors (Worldwide);Public - Membership Required;Assaona Gastrobeach Club Mallorca;Paseo de Portixol;;39.56098;2.66671;1;Tesla (Model S onwards);Level 2 : Medium (Over 2kW);;;6
Tesla Motors (Worldwide);Public - Membership Required;Sha Wellness Clinic;Calle Verderol;;38.559818;-0.07438;1;Tesla (Model S onwards);Level 2 : Medium (Over 2kW);;;17
Tesla Motors (Worldwide);Public - Membership Required;Supermercados Costablanca;Camí de la Mar;;38.579178;-0.093634;1;Tesla (Model S onwards);Level 2 : Medium (Over 2kW);32;400;22
Tesla Motors (Worldwide);Public - Membership Required;Fuengirola Supercharger;Avenida del Higueron 48;;36.580783;-4.595893;8;Tesla Supercharger;Level 3:  High (Over 40kW);;;120
Tesla Motors (Worldwide);Public - Membership Required;Aparcamientos Ubeda;Plaza Andalucia;;38.011117;-3.371597;2;Tesla (Model S onwards);Level 2 : Medium (Over 2kW);32;230;7
Tesla Motors (Worldwide);Public - Membership Required;Centro Comercial Arenas de Barcelona;Gran Via de les Corts Catalanes;;41.376469;2.150236;2;Tesla (Model S onwards);Level 2 : Medium (Over 2kW);16;400;11
Tesla Motors (Worldwide);Public - Membership Required;Villa Magalean Hotel & Spa;Nafarroa-Behera Kalea;;43.362397;-1.78918;1;Tesla (Model S onwards);Level 2 : Medium (Over 2kW);16;400;11
Tesla Motors (Worldwide);Public - Membership Required;Altafulla Mar Hotel;Via Augusta;;41.135535;1.377477;1;Tesla (Model S onwards);Level 2 : Medium (Over 2kW);;;17
